pm2.5,,,,,
2020,,,,,
annual mean,,,,,
ug m-3,,,,,
,,,,,
station,ukgridcode,x,y,streetData,tubeData
aldgate,771964,533500,181500,10.30822,544
aldgate east,771964,533500,181500,10.30822,160
angel,770582,531500,183500,10.41644,566
baker street,771268,527500,182500,9.835972,665
bank,771963,532500,181500,10.13931,410
barbican,771963,532500,181500,10.13931,554
battersea power station,774720,529500,177500,9.841216,566
bayswater,772646,525500,180500,9.996225,488
blackfriars,771962,531500,181500,10.19601,528
bond street,771959,528500,181500,10.44558,569
borough,773343,532500,179500,10.20551,624
cannon street,772653,532500,180500,10.14411,553
chancery lane,771962,531500,181500,10.19601,503
charing cross,772651,530500,180500,10.10051,518
covent garden,772651,530500,180500,10.10051,519
earls court,774026,525500,178500,10.18038,512
edgware road,771958,527500,181500,10.28317,617
elephant & castle,774032,531500,178500,10.41926,565
embankment,772651,530500,180500,10.10051,480
euston,771270,529500,182500,10.24846,599
euston square,771270,529500,182500,10.24846,400
farringdon,771962,531500,181500,10.19601,574
gloucester road,774027,526500,178500,10.15491,571
goodge street,771960,529500,181500,10.28711,616
great portland street,771269,528500,182500,9.972302,603
green park,772649,528500,180500,10.05213,515
hampstead,769197,526500,185500,9.41974,375
high street kensington,773336,525500,179500,10.05562,469
holborn,771961,530500,181500,10.29537,590
hoxton,770584,533500,183500,10.15588,401
hyde park corner,773339,528500,179500,10.19709,569
kennington,774032,531500,178500,10.41926,770
kings cross,770581,530500,183500,10.19121,555
knightsbridge,773338,527500,179500,10.07754,544
lambeth north,773342,531500,179500,10.20987,562
lancaster gate,772647,526500,180500,9.753531,550
leicester square,772650,529500,180500,10.1117,579
liverpool street,771964,533500,181500,10.30822,572
london bridge,772653,532500,180500,10.14411,415
mansion house,772653,532500,180500,10.14411,571
marble arch,771958,527500,181500,10.28317,548
marylebone,771268,527500,182500,9.835972,574
monument,772653,532500,180500,10.14411,527
moorgate,771963,532500,181500,10.13931,270
nine elms,774721,530500,177500,10.32672,575
notting hill gate,772646,525500,180500,9.996225,535
old street,771273,532500,182500,10.31987,609
oxford circus,771960,529500,181500,10.28711,550
paddington,771957,526500,181500,10.12333,270
piccadilly circus,772650,529500,180500,10.1117,360
pimlico,774030,529500,178500,10.17055,583
queensway,772646,525500,180500,9.996225,599
regents park,771269,528500,182500,9.972302,582
russell square,771271,530500,182500,10.29699,611
shoreditch high street,771274,533500,182500,10.38089,559
sloane square,774029,528500,178500,10.13568,552
south kensington,774027,526500,178500,10.15491,558
southwark,772652,531500,180500,10.10923,553
st jamess park,773340,529500,179500,9.955573,591
st pauls,771963,532500,181500,10.13931,606
temple,772651,530500,180500,10.10051,618
tottenham court road,771960,529500,181500,10.28711,400
tower gateway,772654,533500,180500,10.19212,549
tower hill,772654,533500,180500,10.19212,617
vauxhall,774031,530500,178500,10.11981,535
victoria,773339,528500,179500,10.19709,533
warren street,771270,529500,182500,10.24846,606
waterloo,773341,530500,179500,9.983653,1665
westminster,773341,530500,179500,9.983653,840